Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1947,-0.13,-0.08,0.05,0.04,-0.06,0,-0.06,-0.08,-0.14,0.06,-0.01,-0.18
1948,0.05,-0.13,-0.23,-0.09,0.08,-0.05,-0.13,-0.1,-0.1,-0.07,-0.08,-0.23
1949,0.09,-0.16,-0.01,-0.08,-0.09,-0.22,-0.13,-0.08,-0.08,-0.03,-0.08,-0.19
1950,-0.3,-0.26,-0.06,-0.21,-0.12,-0.06,-0.09,-0.17,-0.1,-0.2,-0.35,-0.2
1951,-0.35,-0.44,-0.19,-0.1,-0.02,-0.05,0,0.05,0.07,0.06,0,0.15
1952,0.16,0.13,-0.09,0.02,-0.05,-0.04,0.05,0.07,0.08,-0.04,-0.17,-0.01
1953,0.09,0.16,0.11,0.2,0.09,0.08,0.03,0.08,0.06,0.05,-0.05,0.04
1954,-0.28,-0.1,-0.12,-0.18,-0.19,-0.15,-0.16,-0.13,-0.07,-0.01,0.08,-0.18
1955,0.11,-0.21,-0.36,-0.23,-0.2,-0.07,-0.09,0.04,-0.12,-0.05,-0.28,-0.32
1956,-0.16,-0.25,-0.23,-0.26,-0.28,-0.15,-0.11,-0.25,-0.21,-0.24,-0.17,-0.1
1957,-0.14,-0.05,-0.05,-0.03,0.08,0.16,0.01,0.14,0.06,0.01,0.07,0.16
1958,0.39,0.24,0.1,0.01,0.08,-0.05,0.06,-0.06,-0.03,0.04,0.02,0.01
1959,0.06,0.1,0.19,0.17,0.06,0.02,0.06,-0.01,-0.06,-0.09,-0.09,-0.03
1960,-0.01,0.14,-0.36,-0.16,-0.08,0.01,-0.02,0,0.05,0.07,-0.12,0.18
1961,0.07,0.18,0.09,0.15,0.13,0.12,-0.03,0.02,0.05,0,0.03,-0.15
1962,0.08,0.14,0.12,0.05,-0.06,0.06,-0.02,-0.02,0,-0.02,0.07,-0.01
1963,-0.03,0.2,-0.13,-0.05,-0.09,0.03,0.08,0.25,0.2,0.16,0.15,0
1964,-0.06,-0.12,-0.22,-0.3,-0.25,-0.07,-0.07,-0.2,-0.28,-0.3,-0.21,-0.3
1965,-0.09,-0.17,-0.11,-0.19,-0.14,-0.08,-0.12,-0.01,-0.15,-0.04,-0.06,-0.05
1966,-0.16,0,0.04,-0.13,-0.1,0.01,0.08,-0.1,-0.01,-0.15,-0.02,-0.06
1967,-0.06,-0.2,0.04,-0.05,0.14,-0.09,0.01,0.02,-0.04,0.06,-0.06,-0.02
1968,-0.23,-0.15,0.2,-0.05,-0.1,-0.06,-0.11,-0.11,-0.18,0.12,-0.04,-0.14
1969,-0.11,-0.14,0,0.19,0.2,0.05,-0.01,0.03,0.1,0.11,0.11,0.27
1970,0.09,0.22,0.07,0.09,-0.05,-0.03,-0.04,-0.11,0.11,0.05,0.01,-0.13
1971,-0.03,-0.21,-0.18,-0.09,-0.06,-0.18,-0.12,-0.04,-0.01,-0.06,-0.04,-0.08
